card_names,card_odds,contest
George Hemmings CM,9 - 13,Chelsea v Aston Villa
Lucas Digne CM,8 - 12,Chelsea v Aston Villa
Emi Buendia CM,7 - 10,Chelsea v Aston Villa
Lamare Bogarde CM,7 - 10,Chelsea v Aston Villa
Victor Lindelof CM,6 - 9,Chelsea v Aston Villa
Andres Garcia CM,6 - 9,Chelsea v Aston Villa
Emiliano Martinez CM,8 - 12,Chelsea v Aston Villa
Evann Guessand CM,6 - 9,Chelsea v Aston Villa
Donyell Malen CM,6 - 9,Chelsea v Aston Villa
Youri Tielemans CM,6 - 9,Chelsea v Aston Villa
Ollie Watkins CM,5 - 8,Chelsea v Aston Villa
Daniel Ballard CM,15 - 19,Sunderland v Leeds
Habib Diarra CM,12 - 16,Sunderland v Leeds
Nordi Mukiele CM,12 - 16,Sunderland v Leeds
Granit Xhaka CM,12 - 16,Sunderland v Leeds
Trai Hume CM,10 - 14,Sunderland v Leeds
Wilson Isidor CM,9 - 13,Sunderland v Leeds
Brian Brobbey CM,9 - 13,Sunderland v Leeds
Omar Alderete CM,9 - 13,Sunderland v Leeds
Dan Neil CM,7 - 10,Sunderland v Leeds
Romaine Mundle CM,6 - 9,Sunderland v Leeds
Eliezer Mayenda CM,5 - 8,Sunderland v Leeds
Enzo Le Fee CM,5 - 8,Sunderland v Leeds
Chris Rigg CM,5 - 8,Sunderland v Leeds
Lutsharel Geertruida CM,5 - 8,Sunderland v Leeds
Simon Adingra CM,3 - 6,Sunderland v Leeds
Robin Roefs CM,3 - 6,Sunderland v Leeds
Ethan Ampadu CM,16 - 20,Sunderland v Leeds
Jayden Bogle CM,15 - 19,Sunderland v Leeds
Wilfried Gnonto CM,13 - 17,Sunderland v Leeds
Jaka Bijol CM,12 - 16,Sunderland v Leeds
Ao Tanaka CM,10 - 14,Sunderland v Leeds
Anton Stach CM,9 - 13,Sunderland v Leeds
James Justin CM,9 - 13,Sunderland v Leeds
Ilia Gruev CM,7 - 10,Sunderland v Leeds
Pascal Struijk CM,7 - 10,Sunderland v Leeds
Joel Piroe CM,6 - 9,Sunderland v Leeds
Noah Okafor CM,6 - 9,Sunderland v Leeds
Gabriel Gudmundsson CM,6 - 9,Sunderland v Leeds
Joe Rodon CM,6 - 9,Sunderland v Leeds
Dominic Calvert-Lewin CM,5 - 8,Sunderland v Leeds
