,manager_id,gw,active_chip,automatic_subs,gw_points,points_on_bench,event_transfers,event_transfers_cost,total_points,picks,value,captain,vice_captain,bank,rank,rank_sort,overall_rank
120,429924,7,,[],60,24,1,0,385,"(145, 36, 611, 29, 143, 664, 19, 396, 437, 523, 355, 524, 108, 220, 511)",1008,355,523,31,2152343,2154800,4140487
121,429924,8,,"[(108, 19)]",34,10,1,0,419,"(145, 36, 611, 511, 220, 143, 664, 516, 108, 523, 355, 524, 437, 19, 29)",1009,355,523,26,8308510,8311200,4859037
122,429924,9,,[],81,3,1,0,500,"(145, 36, 511, 29, 143, 19, 516, 108, 664, 60, 355, 524, 523, 611, 220)",1008,516,108,9,2221866,2226219,3942377
123,429924,10,,[],51,20,2,0,551,"(524, 36, 511, 29, 611, 308, 19, 516, 664, 60, 523, 145, 343, 108, 220)",1010,60,308,15,9130506,9131766,4914861
124,429924,11,,[],21,12,0,0,572,"(524, 36, 511, 29, 220, 308, 19, 516, 108, 60, 343, 145, 523, 664, 611)",1017,308,343,15,9043999,9049469,5515864
125,429924,12,,"[(611, 29)]",51,7,1,0,623,"(524, 36, 611, 220, 308, 526, 108, 516, 19, 523, 60, 145, 343, 511, 29)",1022,60,523,2,8600786,8602217,6073067
126,429924,13,,[],37,0,1,0,660,"(524, 36, 220, 29, 526, 308, 19, 362, 108, 60, 343, 145, 523, 511, 611)",1022,19,343,45,8608933,8613628,6425557
127,429924,14,,[],53,6,2,0,713,"(524, 584, 220, 29, 308, 19, 362, 108, 293, 60, 343, 145, 526, 36, 611)",1022,60,308,28,6037530,6041229,6429431
128,429924,15,,"[(145, 524)]",53,8,0,0,766,"(145, 29, 584, 220, 308, 108, 362, 19, 293, 60, 343, 524, 526, 36, 611)",1022,308,19,28,335317,336258,5685479
129,429924,16,,"[(72, 108), (36, 355)]",41,0,2,0,807,"(145, 29, 611, 584, 36, 308, 72, 362, 19, 293, 343, 524, 108, 355, 220)",1016,355,19,0,5156322,5159272,5545529
130,429924,17,,"[(220, 72)]",40,0,0,0,847,"(145, 36, 29, 611, 584, 220, 308, 362, 19, 293, 343, 524, 355, 108, 72)",1016,343,19,0,6406909,6409640,5612735
131,429924,18,,"[(29, 584)]",22,8,2,0,869,"(263, 36, 611, 29, 220, 308, 72, 412, 362, 19, 293, 524, 584, 343, 355)",1011,412,362,7,9123509,9123676,6041775
132,429924,19,,"[(220, 584)]",39,10,0,0,908,"(263, 29, 611, 220, 308, 72, 412, 362, 19, 293, 343, 524, 36, 584, 355)",1010,308,362,7,4550721,4558388,5974591
133,429924,20,,[],79,13,0,0,987,"(263, 584, 611, 29, 308, 19, 362, 72, 412, 343, 293, 524, 36, 220, 355)",1010,308,362,7,1769943,1772968,5268582
134,429924,21,,"[(72, 355)]",55,9,1,0,1042,"(524, 36, 29, 611, 382, 412, 362, 19, 72, 293, 343, 263, 355, 220, 584)",1010,19,362,89,3122135,3124190,4947882
135,429924,22,,[],45,12,0,0,1087,"(524, 611, 29, 36, 382, 19, 362, 412, 355, 343, 293, 263, 72, 220, 584)",1011,19,362,89,6257624,6261875,5058604
