,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
146,2123267,2473399,33,,"[(77, 301), (129, 545), (321, 353)]",46,1767,"(77, 129, 350, 20, 321, 362, 516, 19, 308, 85, 117, 301, 545, 538, 353)",308,117,6
147,2123267,2473399,34,,"[(321, 350)]",124,1883,"(77, 545, 321, 20, 226, 14, 353, 19, 308, 85, 232, 301, 350, 538, 129)",19,308,48
148,2123267,2473399,35,,"[(321, 350), (129, 353)]",48,1927,"(77, 545, 321, 20, 129, 516, 14, 19, 362, 85, 232, 301, 350, 538, 353)",362,516,82
149,2123267,2473399,36,,"[(321, 350)]",96,2015,"(77, 129, 321, 20, 412, 14, 353, 19, 362, 415, 355, 301, 350, 538, 545)",355,412,15
150,2123267,2473399,37,3xc,[],117,2128,"(687, 20, 350, 129, 362, 412, 14, 516, 353, 415, 355, 301, 321, 538, 545)",355,362,4
151,2123267,2473399,38,bboost,[],85,2205,"(687, 20, 350, 5, 362, 236, 14, 516, 353, 415, 355, 301, 321, 326, 545)",362,355,1
152,2123267,1519812,1,,[],61,61,"(17, 398, 5, 206, 131, 6, 308, 396, 211, 135, 355, 524, 196, 106, 473)",355,308,5
153,2123267,1519812,2,,"[(398, 206)]",39,100,"(17, 5, 398, 131, 196, 599, 308, 396, 135, 355, 211, 524, 206, 106, 473)",355,308,15
154,2123267,1519812,3,wildcard,[],59,159,"(352, 20, 195, 131, 19, 216, 108, 353, 143, 211, 355, 524, 119, 511, 220)",355,353,22
155,2123267,1519812,4,,[],78,237,"(352, 511, 195, 220, 19, 216, 353, 143, 108, 523, 355, 524, 119, 131, 20)",355,353,31
156,2123267,1519812,5,,[],37,274,"(352, 511, 195, 220, 20, 19, 216, 353, 143, 108, 355, 524, 131, 119, 523)",355,353,31
157,2123267,1519812,6,,"[(524, 17)]",61,335,"(524, 511, 20, 131, 143, 216, 19, 353, 108, 355, 343, 17, 119, 220, 195)",355,353,29
158,2123267,1519812,7,,"[(20, 405)]",58,389,"(524, 220, 20, 131, 143, 516, 19, 353, 108, 355, 343, 17, 119, 405, 511)",355,353,17
159,2123267,1519812,8,freehit,"[(143, 19)]",41,430,"(275, 511, 220, 36, 516, 143, 353, 504, 60, 355, 326, 524, 19, 611, 584)",355,353,17
160,2123267,1519812,9,,[],74,504,"(524, 20, 584, 511, 19, 516, 353, 143, 108, 343, 355, 17, 119, 220, 405)",355,353,22
161,2123267,1519812,10,,[],73,573,"(524, 20, 584, 511, 19, 516, 412, 108, 60, 343, 355, 17, 353, 220, 405)",19,60,7
162,2123267,1519812,11,,[],24,597,"(524, 511, 584, 220, 19, 516, 353, 108, 60, 343, 355, 17, 412, 20, 405)",355,60,7
163,2123267,1519812,12,,"[(20, 511)]",68,665,"(524, 20, 220, 584, 516, 19, 353, 108, 60, 355, 343, 230, 412, 511, 96)",355,60,9
164,2123267,1519812,13,,"[(20, 511)]",65,730,"(524, 20, 220, 584, 412, 516, 19, 353, 60, 355, 343, 230, 108, 511, 96)",19,60,9
165,2123267,1519812,14,,[],64,794,"(524, 20, 584, 419, 19, 516, 362, 108, 60, 343, 355, 230, 412, 511, 220)",19,60,35
166,2123267,1519812,15,,[],26,820,"(230, 20, 220, 419, 19, 516, 108, 412, 60, 343, 355, 524, 362, 511, 584)",355,19,35
167,2123267,1519812,16,,"[(230, 524), (412, 355)]",34,854,"(230, 511, 20, 419, 516, 19, 362, 382, 412, 60, 415, 524, 355, 220, 584)",355,19,48
168,2123267,1519812,17,,"[(412, 355), (419, 415)]",67,921,"(524, 511, 20, 584, 419, 516, 19, 362, 344, 412, 60, 230, 355, 415, 220)",60,516,31
169,2123267,1519812,18,,"[(220, 584), (412, 344), (20, 355)]",24,945,"(597, 511, 419, 220, 20, 516, 19, 362, 412, 60, 415, 524, 344, 584, 355)",60,516,29
